iter	Passed	Remaining
895	16387	1902
896	16402	1883
897	16418	1864
898	16432	1846
899	16447	1827
900	16463	1808
901	16478	1790
902	16499	1772
903	16515	1753
904	16532	1735
905	16549	1717
906	16565	1698
907	16579	1679
908	16593	1661
909	16608	1642
910	16623	1624
911	16640	1605
912	16656	1587
913	16673	1568
914	16688	1550
915	16705	1531
916	16721	1513
917	16741	1495
918	16757	1476
919	16771	1458
920	16786	1439
921	16800	1421
922	16817	1402
923	16832	1384
924	16847	1366
925	16863	1347
926	16879	1329
927	16894	1310
928	16912	1292
929	16930	1274
930	16953	1256
931	16973	1238
932	16989	1220
933	17006	1201
934	17024	1183
935	17041	1165
936	17057	1146
937	17073	1128
938	17088	1110
939	17106	1091
940	17124	1073
941	17141	1055
942	17158	1037
943	17171	1018
944	17216	1002
945	17236	983
946	17252	965
947	17266	947
948	17283	928
949	17299	910
950	17315	892
951	17335	874
952	17353	855
953	17373	837
954	17390	819
955	17405	801
956	17420	782
957	17438	764
958	17453	746
959	17469	727
960	17483	709
961	17497	691
962	17513	672
963	17531	654
964	17548	636
965	17565	618
966	17581	600
967	17599	581
968	17617	563
969	17633	545
970	17649	527
971	17664	508
972	17680	490
973	17695	472
974	17711	454
975	17727	435
976	17746	417
977	17763	399
978	17782	381
979	17799	363
980	17815	345
981	17833	326
982	17848	308
983	17864	290
984	17879	272
985	17894	254
986	17912	235
987	17930	217
988	17944	199
989	17965	181
990	17981	163
991	17999	145
992	18015	126
993	18048	108
994	18071	90
995	18089	72
996	18105	54
997	18120	36
998	18135	18
999	18151	0
